addr:342	 file:	 ram:01101110
addr:343	 file:	 ram:01100110
addr:344	 file:	 ram:01100100
addr:345	 file:	 ram:01100111
addr:346	 file:	 ram:01101100
addr:347	 file:	 ram:01101111
addr:348	 file:	 ram:01100100
addr:349	 file:	 ram:01100110
addr:350	 file:	 ram:01100111
addr:351	 file:	 ram:01100100
addr:352	 file:	 ram:01101101
addr:353	 file:	 ram:01110110
addr:354	 file:	 ram:01110101
addr:355	 file:	 ram:01111101
addr:356	 file:	 ram:01110100
addr:357	 file:	 ram:01100101
addr:358	 file:	 ram:01110110
addr:359	 file:	 ram:01101110
addr:360	 file:	 ram:01101100
addr:361	 file:	 ram:01101101
addr:362	 file:	 ram:01110111
addr:368	 file:	 ram:01101100
addr:369	 file:	 ram:01100111
addr:370	 file:	 ram:01101111
addr:371	 file:	 ram:01100100
addr:372	 file:	 ram:01100110
addr:373	 file:	 ram:01101110
addr:374	 file:	 ram:01100111
addr:375	 file:	 ram:01101101
addr:376	 file:	 ram:01110101
addr:377	 file:	 ram:01100111
addr:378	 file:	 ram:01111100
addr:379	 file:	 ram:01100111
addr:380	 file:	 ram:01110110
addr:381	 file:	 ram:01101110
addr:382	 file:	 ram:01111100
addr:383	 file:	 ram:01101100
addr:384	 file:	 ram:01101111
addr:385	 file:	 ram:01101110
addr:386	 file:	 ram:01110110
addr:387	 file:	 ram:01101101
addr:388	 file:	 ram:01110101
addr:389	 file:	 ram:01100110
addr:390	 file:	 ram:01100100
addr:391	 file:	 ram:01100111
addr:392	 file:	 ram:01101100
addr:393	 file:	 ram:01100100
addr:394	 file:	 ram:01100111
addr:395	 file:	 ram:01101100
addr:396	 file:	 ram:01100101
addr:397	 file:	 ram:01101111
addr:398	 file:	 ram:01110111
addr:399	 file:	 ram:01101110
addr:400	 file:	 ram:01100100
addr:401	 file:	 ram:01101111
addr:402	 file:	 ram:01110111
addr:403	 file:	 ram:01101110
addr:404	 file:	 ram:01101110
addr:405	 file:	 ram:01100100
addr:406	 file:	 ram:01110111
addr:418	 file:	 ram:01100110
addr:419	 file:	 ram:01101111
addr:420	 file:	 ram:01100111
addr:421	 file:	 ram:01101110
addr:422	 file:	 ram:01100100
addr:423	 file:	 ram:01100110
addr:424	 file:	 ram:01101111
addr:425	 file:	 ram:01100111
addr:426	 file:	 ram:01101110
addr:427	 file:	 ram:01100100
addr:428	 file:	 ram:01101100
addr:429	 file:	 ram:01110110
addr:430	 file:	 ram:01110110
addr:431	 file:	 ram:01110100
addr:432	 file:	 ram:01110100
addr:433	 file:	 ram:01110100
